"Story","Title","Result","Date","Stability","Duration (s)"
"Home Page Login","Login","SUCCESS","2017-09-06T16:34:52.355+10:00[Australia/Sydney]","0.0","15.52"
"Home Page Login","Gift card","SUCCESS","2017-09-06T16:35:14.820+10:00[Australia/Sydney]","0.0","130.43"
